Time,Force
0,0
0.050000001,40.72341537
0.100000001,75.65657043
0.150000006,106.2703934
0.200000003,133.6747284
0.25,158.6699982
0.300000012,181.8382874
0.349999994,203.5961304
0.400000006,224.2521515
0.449999988,244.0369415
0.5,263.1252136
0.550000012,281.651123
0.600000024,299.7188416
0.649999976,317.4099731
0.699999988,334.7891846
0.75,351.9079895
0.800000012,368.8078613
0.850000024,385.5224609
0.899999976,402.0793152
0.949999988,418.5010681
1,434.8064575
