Using backend: pytorch
Other supported backends: tensorflow.compat.v1, tensorflow, jax, paddle.
paddle supports more examples now and is recommended.
Warning: CSGDifference.uniform_points not implemented. Use random_points instead.
Warning: 2000 points required, but 2048 points sampled.
Compiling model...
'compile' took 0.601246 s

Training model...

Step      Train loss                                                                Test loss                                                                 Test metric
0         [1.57e+01, 2.32e+00, 1.18e+00, 1.18e+01, 3.72e+01, 7.13e+00, 2.04e+03]    [1.47e+01, 2.65e+00, 1.30e+00, 1.18e+01, 3.72e+01, 7.13e+00, 2.04e+03]    []  
1000      [1.26e+01, 1.31e-01, 2.30e+00, 9.71e+00, 6.79e+00, 1.70e+00, 1.69e+00]    [1.25e+01, 1.42e-01, 1.90e+00, 9.71e+00, 6.79e+00, 1.70e+00, 1.69e+00]    []  
2000      [9.25e+00, 1.18e+00, 1.14e+00, 6.95e+00, 7.29e+00, 1.65e+00, 1.39e+00]    [8.97e+00, 1.09e+00, 9.24e-01, 6.95e+00, 7.29e+00, 1.65e+00, 1.39e+00]    []  
3000      [7.87e+00, 1.51e+00, 9.42e-01, 5.59e+00, 6.82e+00, 1.51e+00, 1.17e+00]    [8.05e+00, 1.32e+00, 8.64e-01, 5.59e+00, 6.82e+00, 1.51e+00, 1.17e+00]    []  
4000      [6.94e+00, 1.56e+00, 8.66e-01, 4.44e+00, 6.64e+00, 1.31e+00, 1.03e+00]    [7.21e+00, 1.33e+00, 8.94e-01, 4.44e+00, 6.64e+00, 1.31e+00, 1.03e+00]    []  
5000      [5.96e+00, 1.32e+00, 8.05e-01, 3.10e+00, 6.26e+00, 1.08e+00, 8.20e-01]    [6.16e+00, 1.14e+00, 8.70e-01, 3.10e+00, 6.26e+00, 1.08e+00, 8.20e-01]    []  
6000      [4.26e+00, 7.79e-01, 5.86e-01, 1.54e+00, 5.12e+00, 7.49e-01, 5.86e-01]    [4.34e+00, 6.83e-01, 6.13e-01, 1.54e+00, 5.12e+00, 7.49e-01, 5.86e-01]    []  
7000      [8.99e-01, 2.05e-01, 1.32e-01, 1.66e-01, 3.14e+00, 1.97e-01, 3.47e-01]    [8.89e-01, 1.91e-01, 1.15e-01, 1.66e-01, 3.14e+00, 1.97e-01, 3.47e-01]    []  
8000      [3.88e-01, 3.25e-01, 9.56e-02, 1.50e-01, 2.92e+00, 1.12e-01, 2.64e-01]    [3.96e-01, 3.06e-01, 8.11e-02, 1.50e-01, 2.92e+00, 1.12e-01, 2.64e-01]    []  
9000      [2.96e-01, 3.46e-01, 8.31e-02, 1.46e-01, 2.93e+00, 8.75e-02, 1.69e-01]    [3.13e-01, 3.42e-01, 6.24e-02, 1.46e-01, 2.93e+00, 8.75e-02, 1.69e-01]    []  
